city,home_sum,home_won,away_won
Caracas,39.0,14.5,22.5
Nantes,44.0,15.0,4.0
Santo Domingo,46.0,13.0,14.0
Sandefjord,1.0,0.5,0.5
Rivera,13.0,5.5,2.5
Chennai,2.0,0.5,0.5
Iquique,2.0,1.0,0.0
Blackburn,6.0,1.5,3.5
Cardiff,229.0,89.5,92.5
Ploieşti,17.0,5.5,0.5
Nakuru,10.0,6.0,2.0
Jeddah,204.0,52.5,20.5
Harare,194.0,89.5,39.5
Gøta,6.0,1.0,1.0
Marsa,1.0,0.0,1.0
Puerto Ordaz,20.0,7.5,8.5
La Courneuve,9.0,3.0,3.0
Moquegua,1.0,1.0,0.0
Molepolole,9.0,3.0,1.0
Bochum,17.0,4.0,3.0
Le Havre,7.0,3.5,3.5
Szczecin,26.0,7.0,2.0
Ascoli Piceno,2.0,1.0,0.0
Chalcis,2.0,1.0,0.0
Nanjing,5.0,3.0,2.0
Uccle,7.0,1.0,0.0
Marseille,55.0,20.5,13.5
Stettin,5.0,1.0,0.0
Odesa,6.0,4.5,1.5
Kobe,28.0,14.0,5.0
Brandenburg,2.0,1.0,0.0
Białystok,3.0,1.0,0.0
Savanna-la-Mar,2.0,1.0,0.0
Zhengzhou,0.0,0.0,1.0
Sur,2.0,1.0,0.0
Bocaue,10.0,4.0,3.0
Visé,0.0,0.0,1.0
Säve,7.0,1.0,3.0
Trondheim,18.0,6.0,2.0
Deventer,8.0,1.0,0.0
Lobamba,62.0,27.0,32.0
Zabrze,7.0,3.0,3.0
Umm al-Fahm,3.0,0.5,0.5
Xi'an,14.0,4.5,2.5
Olhão,0.0,0.5,1.5
Freshwater,4.0,0.0,3.0
Al Rayyan,1.0,0.5,0.5
Al-Ain,0.0,0.5,0.5
Dublin,477.0,178.5,114.5
Liepāja,11.0,5.0,3.0
Maseru,90.0,45.5,56.5
Chuncheon,3.0,1.0,0.0
Gisborne,3.0,1.0,0.0
Davidson,3.0,1.0,0.0
Pomona,2.0,0.0,1.0
Big Bend,1.0,1.5,1.5
Wakayama,2.0,1.0,0.0
Gossau,3.0,1.0,0.0
Sekondi,16.0,6.0,2.0
Equatorial Guinea,1.0,0.5,0.5
Congo DR,4.0,1.0,0.0
Dundee,8.0,2.5,1.5
Colombo,81.0,28.5,39.5
Victoria,124.0,39.0,41.0
Lomé,192.0,86.5,51.5
Vitoria-Gasteiz,5.0,1.0,1.0
Wollongong,2.0,1.0,1.0
Väskinde,19.0,4.5,4.5
Cleveland,18.0,4.0,2.0
Limerick,1.0,1.0,1.0
Jiangyin,2.0,0.5,0.5
Xuçand,1.0,0.5,0.5
Thanyaburi,1.0,0.5,0.5
Berlin,122.0,45.0,27.0
Kuala Lumpur,1110.0,339.5,249.5
San Diego,50.0,19.5,15.5
Quito,174.0,63.5,29.5
San Francisco,16.0,6.0,6.0
Mufalira,4.0,1.0,0.0
Cannes,10.0,6.0,1.0
Les Abymes,63.0,20.5,13.5
Nashville,12.0,5.5,2.5
Würzburg,0.0,0.5,0.5
Aïn Draham,2.0,2.0,0.0
Hisor,3.0,1.5,0.5
Macau,76.0,17.0,28.0
Eskilstuna,3.0,0.5,0.5
Kuwait City,576.0,203.0,134.0
Gwangju,19.0,6.5,3.5
Chengdu,32.0,10.5,6.5
Mapou,11.0,3.0,8.0
Batumi,2.0,1.0,0.0
Mopti,2.0,0.5,3.5
Krasnodar,14.0,3.5,4.5
Bushbuckridge,1.0,0.0,2.0
Sochi,28.0,8.5,3.5
Awasa,3.0,1.0,0.0
Queretaro,0.0,0.0,1.0
Penafiel,2.0,1.0,0.0
Bilbao,73.0,23.5,8.5
Ankara,55.0,17.5,12.5
Bamako,271.0,117.5,55.5
Leningrad,8.0,3.0,0.0
Pointe-à-Pierre,1.0,0.5,0.5
Pereira,8.0,5.0,1.0
Constanţa,25.0,9.0,3.0
Portoviejo,10.0,3.5,1.5
Hagätña,16.0,3.0,0.0
Vittel,1.0,0.5,0.5
Tbilisi,145.0,57.0,45.0
Kuopio,5.0,1.5,1.5
Acarigua,1.0,1.0,0.0
Lubumbashi,7.0,3.0,5.0
L'viv,41.0,15.0,3.0
Matsumoto,1.0,1.5,0.5
Novara,4.0,2.0,0.0
Chenzhou,0.0,0.5,0.5
Francistown,9.0,5.0,4.0
Zagreb,245.0,81.5,30.5
Santa Cruz,47.0,17.0,15.0
Calicut,2.0,1.5,0.5
Sittard,8.0,3.0,1.0
Yiwu,0.0,0.5,0.5
Alverca do Ribatejo,3.0,0.5,0.5
Levallois-Perret,2.0,1.0,0.0
Detroit,5.0,2.0,0.0
Sintra,1.0,0.5,0.5
Ritzing,1.0,0.5,0.5
Yverdon-les-Bains,0.0,0.0,1.0
