date_played,home_team,away_team,home_score,away_score,city,country,Result
7/18/1915,Uruguay,Argentina,2,3,Montevideo,Uruguay,Argentina
8/15/1915,Argentina,Uruguay,2,1,Buenos Aires,Argentina,Argentina
9/12/1915,Uruguay,Argentina,2,0,Montevideo,Uruguay,Uruguay
9/19/1915,Denmark,Norway,8,1,Copenhagen,Denmark,Denmark
10/3/1915,Austria,Hungary,4,2,Vienna,Austria,Austria
10/24/1915,Sweden,Norway,5,2,Stockholm,Sweden,Sweden
10/31/1915,Sweden,Denmark,0,2,Stockholm,Sweden,Denmark
11/7/1915,Hungary,Austria,6,2,Budapest,Hungary,Hungary
5/7/1916,Austria,Hungary,3,1,Vienna,Austria,Austria
5/21/1916,Catalonia,Basque Country,1,3,Barcelona,Spain,Basque Country
5/22/1916,Catalonia,Basque Country,0,0,Barcelona,Spain,drawn
6/4/1916,Denmark,Sweden,2,0,Copenhagen,Denmark,Denmark
6/4/1916,Hungary,Austria,2,1,Budapest,Hungary,Hungary
6/4/1916,Basque Country,Catalonia,5,0,Bilbao,Spain,Basque Country
6/25/1916,Norway,Denmark,0,2,Kristiania,Norway,Denmark
7/2/1916,Chile,Uruguay,0,4,Buenos Aires,Argentina,Uruguay
7/2/1916,Sweden,Norway,6,0,Stockholm,Sweden,Sweden
7/6/1916,Argentina,Chile,6,1,Buenos Aires,Argentina,Argentina
7/8/1916,Brazil,Chile,1,1,Buenos Aires,Argentina,drawn
7/10/1916,Argentina,Brazil,1,1,Buenos Aires,Argentina,drawn
7/12/1916,Argentina,Chile,1,0,Buenos Aires,Argentina,Argentina
7/12/1916,Brazil,Uruguay,1,2,Buenos Aires,Argentina,Uruguay
7/14/1916,Uruguay,Chile,4,1,Montevideo,Uruguay,Uruguay
7/17/1916,Argentina,Uruguay,0,0,Avellaneda,Argentina,drawn
7/18/1916,Uruguay,Brazil,0,1,Montevideo,Uruguay,Brazil
8/15/1916,Argentina,Uruguay,3,1,Avellaneda,Argentina,Argentina
8/15/1916,Uruguay,Argentina,1,2,Montevideo,Uruguay,Argentina
8/20/1916,Sweden,United States,2,3,Stockholm,Sweden,United States
9/3/1916,Norway,United States,1,1,Kristiania,Norway,drawn
10/1/1916,Argentina,Uruguay,7,2,Avellaneda,Argentina,Argentina
10/1/1916,Hungary,Austria,2,3,Budapest,Hungary,Austria
10/1/1916,Norway,Sweden,0,0,Kristiania,Norway,drawn
10/1/1916,Uruguay,Argentina,0,1,Montevideo,Uruguay,Argentina
10/8/1916,Sweden,Denmark,4,0,Stockholm,Sweden,Sweden
10/15/1916,Denmark,Norway,8,0,Copenhagen,Denmark,Denmark
10/29/1916,Uruguay,Argentina,3,1,Montevideo,Uruguay,Uruguay
11/5/1916,Austria,Hungary,3,3,Vienna,Austria,drawn
5/6/1917,Austria,Hungary,1,1,Vienna,Austria,drawn
5/7/1917,Japan,Philippines,2,15,Tokyo,Japan,Japan
6/3/1917,Denmark,Sweden,1,1,Copenhagen,Denmark,drawn
6/3/1917,Hungary,Austria,6,2,Budapest,Hungary,Hungary
